name,position,company,email,linkedin,city
Andrei Pitis,President,ANIS,,,Bucharest
Bogdan Iordache,Founder,How to Web,,,Bucharest
Radu Georgescu,Serial Entrepreneur and Venture Capitalist,,,,Bucharest
Ioana Petrescu,Economic Adviser to the Prime Minister,,,,Bucharest
Vladimir Oane,Chief Product Officer,UberVU,,,Bucharest
Teodora Juravle,Marketing Communications Manager,Carrefour,,,Bucharest
Julien Ducarroz,CCO,Orange Romania,,,Bucharest
Cristian Patachia,Development & Innovation Manager,Orange Romania,,,Bucharest
Cristi Olărasu,Tech Entrepreneur,,,,Bucharest
stefan SLavnicu,Chief Technology Officer,Orange Romania,,,Bucharest
Teodor Ceausu,Country Manager,Ixia Romania,,,Bucharest
Silviu Neghina,M2M Proposition Manager,,,,Bucharest
Delia Chiricescu,Managing Director,Microchip Technology,,,Bucharest
Marius Glod,Value Added Services Expert,,,,Bucharest
Giuseppe Cinque,Product Strategy in Corporate Affairs,Cisco,,,Bucharest
Robert Knapp,Co-founder and CEO,CyberGhost,,,Bucharest
Ravi Buck,Economic Officer,US Embassy,,,Bucharest
Lucian Ghindă,Co-founder,DevAcademy,,,Bucharest
Petru Jucovschi,Cloud Solutions Architect,Microsoft,,,Bucharest
Cosmin Stan,Senior R&D Manager,FotoNation,,,Bucharest
Dragos Mănescu,Project Manager,Adobe,,,Bucharest
Cristian Ene,Development Manager,Electronic Arts,,,Bucharest
Todi Pruteanu,Business Strategy Manager,Microsoft Romania,,,Bucharest
Jean Baptiste, General Manager, Carrefour Romania,,,Bucharest
Cristian Udrescu, Business Advisor, Trend Consult Group,,,Bucharest
Diana Olar, Commercial Director, ChargeAds,,,Bucharest
Nicolas Bry,Serial Innovator,,,,Bucharest
Ana Andronic, Head of IP, Biris Goran,,,Bucharest
Andreea Bădescu, Certified Trainer, Process Communication RO,,,Bucharest
Bogdan Doinea, Technical Manager Europe, Cisco,,,Bucharest
Raluca Georgescu, Co-organiser E-commerce Awards, Gala GPeC,,,Bucharest
Alex Negrea, Co-founder & CTO, docTrackr.com,,,Bucharest
Andrei Ismail, Owner, programmerfitness.com,,,Bucharest
Bogdan Bocse, Cloud Solutions Architect, Microsoft Romania,,,Bucharest
Bogdan Rîpă, Director Product Management, Adobe,,,Bucharest
Bulent Duagi, Junior Product Manager, BitDefender,,,Bucharest
Cătălin Tenită, Founder, Zelist,,,Bucharest
Dan Mircea Suciu, Director of Engineering, 3Pillar Global,,,Bucharest
Daniel Rizea, Engineering Manager, Vector Watch,,,Bucharest
Iulia Porneală, Head of Product Management, CyberGhost,,,Bucharest
Tudor Juravlea, User Experience Architect, ING,,,Bucharest
Bogdan Rusu, Business Relationship Manager, ANIS,,,Bucharest
Adrian Georgescu, Game Engineer, MavenHut,,,Bucharest
Mihnea Dobrescu, Backend Engineer, HootSuite,,,Bucharest
Petru Ratiu, Senior System Administrator, AvantGate,,,Bucharest
Ciprian Gavriliu, Product Designer & UX Consultant, Triple Magic,,,Bucharest
Radu Vasile, Game Engineer, MavenHut,,,Bucharest
Dragos Bardac, Co-founder, Lifebox.mobi,,,Bucharest
Carmen Ruse, User Experience Designer, Adobe,,,Bucharest
Alexandru Eftimie, CEO, Korect Solutions,,,Bucharest
Răzvan Rughinis, Associate Professor, Politehnica University,,,Bucharest
Daniel Rosner, Coordinator, InGear Laboratory,,,Bucharest
Ilinca Munteanu, PR & Social Media Coordinator, Tech Lounge,,,Bucharest
Mihai Bucicoiu, Coach, Innovation Labs,,,Bucharest
Bogdan tenea, Coach, Innovation Labs,,,Bucharest
Radu Popovici, Coach, Innovation Labs,,,Bucharest
Florina Dumitrache, Coach, Innovation Labs,,,Bucharest
